Decile,Count,Mean,Std,Median,Min,Max
0,192470,0.0018,0.0076,0.002,-0.0501,0.0381
1,180948,0.0014,0.0062,0.0014,-0.0225,0.0214
2,170259,0.0002,0.0066,0.0009,-0.0551,0.0195
3,13883,0.001,0.0054,0.0007,-0.0094,0.0135
4,173136,0.0,0.0062,0.0,-0.0295,0.0173
5,173250,-0.0001,0.0064,-0.0002,-0.0265,0.0228
6,3496,0.0002,0.0059,0.0004,-0.0112,0.0091
7,176375,-0.0,0.0065,0.0,-0.0366,0.0201
8,161198,-0.0011,0.0063,-0.0005,-0.026,0.0205
9,182602,-0.0012,0.0073,-0.0007,-0.0263,0.0212
